seal_id,words,encoding
193,Devānaṁpiya Dhamma Rājā,2 2 1 1 3 1
194,Lipi Pajā Hita,4 4 5 3 8 5
195,Kamma Sādhu Niyama,7 7 6 2 10 7
196,Jīva Yojanas Magga,11 6 12 2 14 4
197,Dānam Dutā Vipassanā,13 3 16 6 17 0
198,Māta-pitu Gurū Bhaya,19 9 20 0 21 8
199,Dhammalipi Anussati Pūjā,23 1 24 4 25 5
200,Pativedana Samāja Apāsanda,27 7 28 8 29 9
201,Garbha Sabba Sukhā,30 0 31 1 35 5
202,Dukkha Bhūta Lokahita,36 6 33 3 34 5
203,Vijaya Cikicchā Dīgha,37 7 39 9 41 1
204,Nāḷi Pānīya Rathiya,42 2 43 3 45 5
205,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
206,Punnāta Dhamma Sādhu,49 9 1 1 6 2
207,Devānaṁpiya Hita Kamma,2 2 8 5 7 7
208,Rājā Nagara Jīva,3 1 9 4 11 6
209,Lipi Yojanas Parisa,4 4 12 2 15 5
210,Dutā Arambha Gurū,16 6 18 8 20 0
211,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
212,Anussati Pūjā Mahāmātra,24 4 25 5 26 9
213,Samāja Apāsanda Ata,28 8 29 9 32 2
214,Bhūta Lokahita Sukhā,33 3 34 5 35 5
215,Dukkha Vijaya Kalinga,36 6 37 7 38 8
216,Viharati Nāḷi Nigrodha,40 0 42 2 44 4
217,Rathiya Dhammayāta Punnāta,45 5 46 6 49 9
218,Dhammacara Dhamma Rājā,50 0 1 1 3 1
219,Devānaṁpiya Lipi Pajā,2 2 4 4 5 3
220,Sādhu Kamma Nagara,6 2 7 7 9 4
221,Hita Niyama Yojanas,8 5 10 0 12 2
222,Magga Dānam Parisa,14 4 13 3 15 5
223,Dutā Arambha Māta-pitu,16 6 18 8 19 9
224,Gurū Bhaya Dhammalipi,20 0 21 8 23 1
225,Anussati Pūjā Samāja,24 4 25 5 28 8
226,Apāsanda Garbha Sabba,29 9 30 0 31 1
227,Ata Dukkha Vijaya,32 2 36 6 37 7
228,Kalinga Cikicchā Dīgha,38 8 39 9 41 1
229,Nāḷi Pānīya Dhammayāta,42 2 43 3 46 6
230,Anuloma Pātā Punnāta,47 7 48 8 49 9
231,Dhamma Devānaṁpiya Sādhu,1 1 2 2 6 2
232,Rājā Kamma Pajā,3 1 7 7 5 3
233,Lipi Hita Niyama,4 4 8 5 10 0
234,Nagara Jīva Magga,9 4 11 6 14 4
235,Yojanas Dānam Arambha,12 2 13 3 18 8
236,Vipassanā Dutā Gurū,17 0 16 6 20 0
237,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
238,Dhammalipi Anussati Pativedana,23 1 24 4 27 7
239,Samāja Apāsanda Lokahita,28 8 29 9 34 5
240,Garbha Bhūta Sukhā,30 0 33 3 35 5
241,Dukkha Vijaya Viharati,36 6 37 7 40 0
242,Kalinga Cikicchā Pānīya,38 8 39 9 43 3
243,Dīgha Nāḷi Rathiya,41 1 42 2 45 5
244,Nigrodha Pātā Dhammacara,44 4 48 8 50 0
245,Dhamma Rājā Lipi,1 1 3 1 4 4
246,Devānaṁpiya Pajā Kamma,2 2 5 3 7 7
247,Sādhu Hita Nagara,6 2 8 5 9 4
248,Niyama Jīva Yojanas,10 0 11 6 12 2
249,Magga Dānam Parisa,14 4 13 3 15 5
250,Dutā Arambha Gurū,16 6 18 8 20 0
251,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
252,Anussati Pūjā Pativedana,24 4 25 5 27 7
253,Samāja Apāsanda Garbha,28 8 29 9 30 0
254,Sabba Ata Lokahita,31 1 32 2 34 5
255,Bhūta Sukhā Dukkha,33 3 35 5 36 6
256,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
257,Viharati Dīgha Nāḷi,40 0 41 1 42 2
258,Pānīya Nigrodha Rathiya,43 3 44 4 45 5
259,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
260,Dhamma Devānaṁpiya Kamma,1 1 2 2 7 7
261,Rājā Lipi Pajā,3 1 4 4 5 3
262,Sādhu Hita Niyama,6 2 8 5 10 0
263,Nagara Jīva Yojanas,9 4 11 6 12 2
264,Dānam Magga Vipassanā,13 3 14 4 17 0
265,Dutā Arambha Gurū,16 6 18 8 20 0
266,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
267,Dhammalipi Anussati Mahāmātra,23 1 24 4 26 9
268,Samāja Apāsanda Sabba,28 8 29 9 31 1
269,Garbha Bhūta Lokahita,30 0 33 3 34 5
270,Ata Sukhā Dukkha,32 2 35 5 36 6
271,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
272,Viharati Nāḷi Nigrodha,40 0 42 2 44 4
273,Dīgha Pānīya Pātā,41 1 43 3 48 8
274,Rathiya Dhammayāta Punnāta,45 5 46 6 49 9
275,Dhamma Sādhu Kamma,1 1 6 2 7 7
276,Devānaṁpiya Hita Lipi,2 2 8 5 4 4
277,Rājā Niyama Jīva,3 1 10 0 11 6
278,Pajā Yojanas Dānam,5 3 12 2 13 3
279,Sādhu Magga Arambha,6 2 14 4 18 8
280,Vipassanā Dutā Gurū,17 0 16 6 20 0
281,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
282,Dhammalipi Pativedana Samāja,23 1 27 7 28 8
283,Apāsanda Garbha Ata,29 9 30 0 32 2
284,Sabba Bhūta Sukhā,31 1 33 3 35 5
285,Lokahita Dukkha Vijaya,34 5 36 6 37 7
286,Kalinga Cikicchā Viharati,38 8 39 9 40 0
287,Dīgha Nāḷi Pānīya,41 1 42 2 43 3
288,Nigrodha Rathiya Pātā,44 4 45 5 48 8
289,Punnāta Dhammacara Magga,49 9 50 0 14 4
290,Dhamma Kamma Pūjā,1 1 7 7 25 5
291,Devānaṁpiya Hita Niyama,2 2 8 5 10 7
292,Rājā Lipi Parisa,3 1 4 4 15 5
293,Pajā Jīva Arambha,5 3 11 6 18 8
294,Sādhu Yojanas Vipassanā,6 2 12 2 17 0
295,Dānam Dutā Sammati,13 3 16 6 22 1
296,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
297,Mahāmātra Samāja Sabba,26 9 28 8 31 1
298,Ata Bhūta Lokahita,32 2 33 3 34 5
299,Sukhā Vijaya Cikicchā,35 5 37 7 39 9
300,Viharati Nāḷi Pānīya,40 0 42 2 43 3
301,Nigrodha Rathiya Punnāta,44 4 45 5 49 9
302,Dhammacara Dhamma Lipi,50 0 1 1 4 4
303,Devānaṁpiya Rājā Sādhu,2 2 3 1 6 2
304,Pajā Kamma Hita,5 3 7 7 8 5
305,Nagara Niyama Yojanas,9 4 10 0 12 2
306,Magga Parisa Dutā,14 4 15 5 16 6
307,Vipassanā Arambha Gurū,17 0 18 8 20 0
308,Bhaya Sammati Pativedana,21 8 22 2 27 7
309,Dhamma Kamma Lipi,1 1 7 7 4 4
310,Devānaṁpiya Hita Pajā,2 2 8 5 5 3
311,Rājā Nagara Jīva,3 1 9 4 11 6
312,Sādhu Niyama Magga,6 2 10 7 14 4
313,Yojanas Dānam Vipassanā,12 2 13 3 17 0
314,Arambha Gurū Sammati,18 8 20 0 22 2
315,Bhaya Pūjā Mahāmātra,21 8 25 5 26 9
316,Samāja Garbha Ata,28 8 30 0 32 2
317,Bhūta Lokahita Dukkha,33 3 34 5 36 6
318,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
319,Viharati Dīgha Pānīya,40 0 41 1 43 3
320,Nigrodha Rathiya Pātā,44 4 45 5 48 8
321,Punnāta Dhammacara Dhamma,49 9 50 0 1 1
322,Devānaṁpiya Dhamma Rājā,2 2 1 1 3 1
323,Lipi Pajā Hita,4 4 5 3 8 5
324,Kamma Sādhu Niyama,7 7 6 2 10 7
325,Jīva Yojanas Magga,11 6 12 2 14 4
326,Dānam Dutā Vipassanā,13 3 16 6 17 0
327,Māta-pitu Gurū Bhaya,19 9 20 0 21 8
328,Dhammalipi Anussati Pūjā,23 1 24 4 25 5
329,Pativedana Samāja Apāsanda,27 7 28 8 29 9
330,Garbha Sabba Sukhā,30 0 31 1 35 5
331,Dukkha Bhūta Lokahita,36 6 33 3 34 5
332,Vijaya Cikicchā Dīgha,37 7 39 9 41 1
333,Nāḷi Pānīya Rathiya,42 2 43 3 45 5
334,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
335,Punnāta Dhamma Sādhu,49 9 1 1 6 2
336,Devānaṁpiya Hita Kamma,2 2 8 5 7 7
337,Rājā Nagara Jīva,3 1 9 4 11 6
338,Lipi Yojanas Parisa,4 4 12 2 15 5
339,Dutā Arambha Gurū,16 6 18 8 20 0
340,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
341,Anussati Pūjā Mahāmātra,24 4 25 5 26 9
342,Samāja Apāsanda Ata,28 8 29 9 32 2
343,Bhūta Lokahita Sukhā,33 3 34 5 35 5
344,Dukkha Vijaya Kalinga,36 6 37 7 38 8
345,Viharati Nāḷi Nigrodha,40 0 42 2 44 4
346,Rathiya Dhammayāta Punnāta,45 5 46 6 49 9
347,Dhammacara Dhamma Rājā,50 0 1 1 3 1
348,Devānaṁpiya Lipi Pajā,2 2 4 4 5 3
349,Sādhu Kamma Nagara,6 2 7 7 9 4
350,Hita Niyama Yojanas,8 5 10 0 12 2
351,Magga Dānam Parisa,14 4 13 3 15 5
352,Dutā Arambha Māta-pitu,16 6 18 8 19 9
353,Gurū Bhaya Dhammalipi,20 0 21 8 23 1
354,Anussati Pūjā Samāja,24 4 25 5 28 8
355,Apāsanda Garbha Sabba,29 9 30 0 31 1
356,Ata Dukkha Vijaya,32 2 36 6 37 7
357,Kalinga Cikicchā Dīgha,38 8 39 9 41 1
358,Nāḷi Pānīya Dhammayāta,42 2 43 3 46 6
359,Anuloma Pātā Punnāta,47 7 48 8 49 9
360,Dhamma Devānaṁpiya Sādhu,1 1 2 2 6 2
361,Rājā Kamma Pajā,3 1 7 7 5 3
362,Lipi Hita Niyama,4 4 8 5 10 0
363,Nagara Jīva Magga,9 4 11 6 14 4
364,Yojanas Dānam Arambha,12 2 13 3 18 8
365,Vipassanā Dutā Gurū,17 0 16 6 20 0
366,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
367,Dhammalipi Anussati Pativedana,23 1 24 4 27 7
368,Samāja Apāsanda Lokahita,28 8 29 9 34 5
369,Garbha Bhūta Sukhā,30 0 33 3 35 5
370,Dukkha Vijaya Viharati,36 6 37 7 40 0
371,Kalinga Cikicchā Pānīya,38 8 39 9 43 3
372,Dīgha Nāḷi Rathiya,41 1 42 2 45 5
373,Nigrodha Pātā Dhammacara,44 4 48 8 50 0
374,Dhamma Rājā Lipi,1 1 3 1 4 4
375,Devānaṁpiya Pajā Kamma,2 2 5 3 7 7
376,Sādhu Hita Nagara,6 2 8 5 9 4
377,Niyama Jīva Yojanas,10 0 11 6 12 2
378,Magga Dānam Parisa,14 4 13 3 15 5
379,Dutā Arambha Gurū,16 6 18 8 20 0
380,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
381,Anussati Pūjā Pativedana,24 4 25 5 27 7
382,Samāja Apāsanda Garbha,28 8 29 9 30 0
383,Sabba Ata Lokahita,31 1 32 2 34 5
384,Bhūta Sukhā Dukkha,33 3 35 5 36 6
385,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
386,Viharati Dīgha Nāḷi,40 0 41 1 42 2
387,Pānīya Nigrodha Rathiya,43 3 44 4 45 5
388,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
389,Dhamma Devānaṁpiya Kamma,1 1 2 2 7 7
390,Rājā Lipi Pajā,3 1 4 4 5 3
391,Sādhu Hita Niyama,6 2 8 5 10 0
392,Nagara Jīva Yojanas,9 4 11 6 12 2
393,Dānam Magga Vipassanā,13 3 14 4 17 0
394,Dutā Arambha Gurū,16 6 18 8 20 0
395,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
396,Dhammalipi Anussati Mahāmātra,23 1 24 4 26 9
397,Samāja Apāsanda Sabba,28 8 29 9 31 1
398,Garbha Bhūta Lokahita,30 0 33 3 34 5
399,Ata Sukhā Dukkha,32 2 35 5 36 6
400,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
401,Viharati Nāḷi Nigrodha,40 0 42 2 44 4
402,Dīgha Pānīya Pātā,41 1 43 3 48 8
403,Rathiya Dhammayāta Punnāta,45 5 46 6 49 9
404,Dhamma Sādhu Kamma,1 1 6 2 7 7
405,Devānaṁpiya Hita Lipi,2 2 8 5 4 4
406,Rājā Niyama Jīva,3 1 10 0 11 6
407,Pajā Yojanas Dānam,5 3 12 2 13 3
408,Sādhu Magga Arambha,6 2 14 4 18 8
409,Vipassanā Dutā Gurū,17 0 16 6 20 0
410,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
411,Dhammalipi Pativedana Samāja,23 1 27 7 28 8
412,Apāsanda Garbha Ata,29 9 30 0 32 2
413,Sabba Bhūta Sukhā,31 1 33 3 35 5
414,Lokahita Dukkha Vijaya,34 5 36 6 37 7
415,Kalinga Cikicchā Viharati,38 8 39 9 40 0
416,Dīgha Nāḷi Pānīya,41 1 42 2 43 3
417,Nigrodha Rathiya Pātā,44 4 45 5 48 8
418,Punnāta Dhammacara Magga,49 9 50 0 14 4
419,Dhamma Kamma Pūjā,1 1 7 7 25 5
420,Devānaṁpiya Hita Niyama,2 2 8 5 10 7
421,Rājā Lipi Parisa,3 1 4 4 15 5
422,Pajā Jīva Arambha,5 3 11 6 18 8
423,Sādhu Yojanas Vipassanā,6 2 12 2 17 0
424,Dānam Dutā Sammati,13 3 16 6 22 1
425,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
426,Mahāmātra Samāja Sabba,26 9 28 8 31 1
427,Ata Bhūta Lokahita,32 2 33 3 34 5
428,Sukhā Vijaya Cikicchā,35 5 37 7 39 9
429,Viharati Nāḷi Pānīya,40 0 42 2 43 3
430,Nigrodha Rathiya Punnāta,44 4 45 5 49 9
431,Dhammacara Dhamma Lipi,50 0 1 1 4 4
432,Devānaṁpiya Rājā Sādhu,2 2 3 1 6 2
433,Pajā Kamma Hita,5 3 7 7 8 5
434,Nagara Niyama Yojanas,9 4 10 0 12 2
435,Magga Parisa Dutā,14 4 15 5 16 6
436,Vipassanā Arambha Gurū,17 0 18 8 20 0
437,Bhaya Sammati Pativedana,21 8 22 2 27 7
438,Dhamma Kamma Lipi,1 1 7 7 4 4
439,Devānaṁpiya Hita Pajā,2 2 8 5 5 3
440,Rājā Nagara Jīva,3 1 9 4 11 6
441,Sādhu Niyama Magga,6 2 10 7 14 4
442,Yojanas Dānam Vipassanā,12 2 13 3 17 0
443,Arambha Gurū Sammati,18 8 20 0 22 2
444,Bhaya Pūjā Mahāmātra,21 8 25 5 26 9
445,Samāja Garbha Ata,28 8 30 0 32 2
446,Bhūta Lokahita Dukkha,33 3 34 5 36 6
447,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
448,Viharati Dīgha Pānīya,40 0 41 1 43 3
449,Nigrodha Rathiya Pātā,44 4 45 5 48 8
450,Punnāta Dhammacara Dhamma,49 9 50 0 1 1
451,Devānaṁpiya Dhamma Rājā,2 2 1 1 3 1
452,Lipi Pajā Hita,4 4 5 3 8 5
453,Kamma Sādhu Niyama,7 7 6 2 10 7
454,Jīva Yojanas Magga,11 6 12 2 14 4
455,Dānam Dutā Vipassanā,13 3 16 6 17 0
456,Māta-pitu Gurū Bhaya,19 9 20 0 21 8
457,Dhammalipi Anussati Pūjā,23 1 24 4 25 5
458,Pativedana Samāja Apāsanda,27 7 28 8 29 9
459,Garbha Sabba Sukhā,30 0 31 1 35 5
460,Dukkha Bhūta Lokahita,36 6 33 3 34 5
461,Vijaya Cikicchā Dīgha,37 7 39 9 41 1
462,Nāḷi Pānīya Rathiya,42 2 43 3 45 5
463,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
464,Punnāta Dhamma Sādhu,49 9 1 1 6 2
465,Devānaṁpiya Hita Kamma,2 2 8 5 7 7
466,Rājā Nagara Jīva,3 1 9 4 11 6
467,Lipi Yojanas Parisa,4 4 12 2 15 5
468,Dutā Arambha Gurū,16 6 18 8 20 0
469,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
470,Anussati Pūjā Mahāmātra,24 4 25 5 26 9
471,Samāja Apāsanda Ata,28 8 29 9 32 2
472,Bhūta Lokahita Sukhā,33 3 34 5 35 5
473,Dukkha Vijaya Kalinga,36 6 37 7 38 8
474,Viharati Nāḷi Nigrodha,40 0 42 2 44 4
475,Rathiya Dhammayāta Punnāta,45 5 46 6 49 9
